секция,типы преступлений,индикатор,общий индикатор,название объекта,object_level,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Липецкая область,регион,15376.0,13482.0,13274.0,12334.0,14406.0,12369.0,12690.0,12344.0,12181.0,13234.0,13073.0,13940.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Магаданская область,регион,3220.0,3234.0,3488.0,3080.0,3309.0,2986.0,2771.0,2951.0,2885.0,2649.0,2562.0,2386.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Московская область,регион,113869.0,109349.0,107178.0,91061.0,89183.0,88297.0,84307.0,80299.0,77049.0,73941.0,73780.0,74054.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Мурманская область,регион,15970.0,14379.0,13312.0,12881.0,18556.0,15061.0,12773.0,12085.0,12117.0,12228.0,12096.0,12075.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Ненецкий автономный округ,регион,772.0,627.0,511.0,655.0,840.0,763.0,779.0,857.0,754.0,732.0,852.0,686.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Нижегородская область,регион,65614.0,55206.0,47147.0,38560.0,41177.0,40238.0,42127.0,41638.0,43029.0,42337.0,40530.0,39404.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Новгородская область,регион,11193.0,12669.0,11838.0,12820.0,13068.0,11986.0,11103.0,10887.0,10909.0,11318.0,10630.0,10615.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Новосибирская область,регион,56541.0,51314.0,49339.0,46547.0,53273.0,45201.0,44349.0,47702.0,50207.0,54013.0,46463.0,46814.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Омская область,регион,29855.0,30372.0,29054.0,29014.0,30746.0,29352.0,28467.0,26927.0,24868.0,24493.0,23825.0,23074.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Оренбургская область,регион,31032.0,28613.0,27136.0,27613.0,30762.0,27230.0,27212.0,26228.0,26792.0,27483.0,24989.0,21742.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Орловская область,регион,12614.0,13229.0,12212.0,11684.0,11760.0,9313.0,8848.0,8993.0,8959.0,8555.0,8151.0,8243.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Пензенская область,регион,14969.0,13733.0,12958.0,13420.0,13818.0,12319.0,11819.0,12829.0,12923.0,13520.0,13470.0,13274.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Пермский край,регион,58394.0,64259.0,56661.0,51919.0,58231.0,50076.0,43995.0,42206.0,42951.0,39694.0,40594.0,41027.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Приволжский федеральный округ,федеральный округ,490394.0,466871.0,417329.0,401875.0,451206.0,405325.0,392114.0,380451.0,389913.0,396291.0,383654.0,378486.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Приморский край,регион,45637.0,48067.0,52458.0,48846.0,47408.0,39174.0,36619.0,32825.0,31085.0,32336.0,35098.0,33604.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Псковская область,регион,11301.0,10411.0,9293.0,8878.0,10944.0,9498.0,8280.0,7963.0,8206.0,9031.0,8377.0,8714.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Адыгея,регион,4566.0,4076.0,3956.0,4045.0,4958.0,4639.0,4014.0,4106.0,4709.0,4123.0,4496.0,4388.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Алтай,регион,4921.0,4735.0,4522.0,4348.0,5318.0,4832.0,4631.0,4602.0,4268.0,4761.0,4762.0,4586.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Башкортостан,регион,68471.0,65418.0,52378.0,53111.0,70938.0,65343.0,60996.0,57428.0,55347.0,55883.0,52437.0,50751.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Бурятия,регион,24137.0,23507.0,23765.0,24592.0,27797.0,23479.0,23610.0,23511.0,22131.0,20639.0,20770.0,19955.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Дагестан,регион,12550.0,13647.0,14003.0,13817.0,15130.0,15810.0,14608.0,14809.0,13627.0,14143.0,14852.0,14357.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Ингушетия,регион,1933.0,1790.0,1749.0,1623.0,1728.0,1790.0,1606.0,1655.0,1800.0,1909.0,2103.0,2233.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Калмыкия,регион,3799.0,3741.0,3454.0,2895.0,3173.0,2951.0,3028.0,2749.0,2797.0,2867.0,2940.0,2693.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Карелия,регион,14258.0,11482.0,11088.0,12655.0,15698.0,13464.0,11293.0,11954.0,12334.0,13449.0,13670.0,11850.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Коми,регион,17247.0,17581.0,19709.0,20730.0,23926.0,19045.0,17233.0,16734.0,16985.0,17204.0,15026.0,14797.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Крым,регион,0.0,0.0,0.0,18248.0,27842.0,23747.0,21711.0,22414.0,20979.0,21682.0,20727.0,20779.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Марий Эл,регион,10842.0,9495.0,8248.0,7419.0,8360.0,7214.0,7352.0,7664.0,7754.0,7597.0,7656.0,7741.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Мордовия,регион,7767.0,7806.0,8410.0,8908.0,9190.0,8501.0,7962.0,7730.0,8060.0,8258.0,8533.0,8107.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Саха (Якутия),регион,15098.0,12129.0,10825.0,10715.0,11846.0,12375.0,12399.0,11936.0,12387.0,12146.0,13005.0,13000.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Северная Осетия — Алания,регион,6618.0,6271.0,6042.0,5977.0,6728.0,7036.0,7145.0,7204.0,9503.0,8075.0,8152.0,8065.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Татарстан,регион,55318.0,51584.0,46021.0,44781.0,52080.0,48150.0,46093.0,43586.0,49839.0,53856.0,51933.0,52189.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Тыва,регион,5554.0,5921.0,6138.0,6588.0,8439.0,10914.0,11668.0,9254.0,8626.0,8546.0,8483.0,6619.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Республика Хакасия,регион,10799.0,11042.0,10538.0,13921.0,13774.0,11052.0,11528.0,10940.0,10640.0,10839.0,11024.0,9493.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Российская Федерация,страна,2404807.0,2302168.0,2206249.0,2190578.0,2388476.0,2160063.0,2058476.0,1991532.0,2024337.0,2044221.0,2004404.0,1966795.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Ростовская область,регион,56282.0,52446.0,51829.0,54081.0,62271.0,57691.0,59113.0,55460.0,60914.0,61753.0,58538.0,57250.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Рязанская область,регион,9716.0,9543.0,9698.0,9656.0,10364.0,9524.0,9542.0,9348.0,10250.0,10023.0,9151.0,9154.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Самарская область,регион,62445.0,60533.0,52105.0,50751.0,49364.0,44102.0,44029.0,41461.0,42640.0,44332.0,43280.0,47060.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Саратовская область,регион,32740.0,28730.0,28310.0,27182.0,29757.0,25026.0,28833.0,29032.0,29315.0,30563.0,29831.0,29200.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Сахалинская область,регион,10026.0,10218.0,12338.0,11509.0,11270.0,12248.0,11449.0,9996.0,9475.0,8988.0,8876.0,8511.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Свердловская область,регион,77347.0,71549.0,69231.0,69647.0,72267.0,63454.0,58301.0,55434.0,57757.0,58490.0,54484.0,51822.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Северо-Западный федеральный округ,федеральный округ,219220.0,205557.0,200632.0,203681.0,227877.0,198645.0,188924.0,184139.0,186032.0,202659.0,198538.0,197119.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Северо-Кавказский федеральный округ,федеральный округ,72306.0,73688.0,71542.0,69695.0,75969.0,73885.0,69820.0,69987.0,75497.0,74533.0,74145.0,72492.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Сибирский федеральный округ,федеральный округ,418983.0,407660.0,403200.0,393383.0,422926.0,382167.0,364252.0,299661.0,299554.0,301129.0,287295.0,278840.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Смоленская область,регион,18220.0,16988.0,14758.0,13754.0,13761.0,13677.0,13002.0,12525.0,13958.0,14767.0,14013.0,14611.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Ставропольский край,регион,34706.0,35584.0,33839.0,33476.0,36259.0,34336.0,31726.0,32303.0,34744.0,35177.0,34008.0,33569.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Тамбовская область,регион,13548.0,11729.0,11722.0,11473.0,13232.0,12178.0,11510.0,12010.0,12658.0,13253.0,13537.0,13799.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Тверская область,регион,28936.0,25491.0,20141.0,20292.0,22926.0,20992.0,20051.0,19581.0,20732.0,21721.0,20583.0,21352.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Томская область,регион,22807.0,23156.0,20691.0,20616.0,23104.0,20432.0,18783.0,17861.0,17660.0,17392.0,16813.0,18578.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Тульская область,регион,14681.0,13856.0,12567.0,12281.0,13200.0,12008.0,12550.0,13432.0,13046.0,13028.0,15554.0,15826.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Тюменская область,регион,35132.0,29415.0,33698.0,30248.0,30979.0,27466.0,26452.0,25639.0,26648.0,24757.0,24160.0,23591.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Удмуртская Республика,регион,27965.0,27365.0,26998.0,26875.0,29548.0,26219.0,24173.0,25293.0,27060.0,28075.0,26524.0,24583.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Ульяновская область,регион,16573.0,16366.0,15029.0,15431.0,16460.0,15321.0,13586.0,13175.0,12663.0,12724.0,12276.0,12159.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Уральский федеральный округ,федеральный округ,251664.0,228106.0,224229.0,216176.0,229510.0,205447.0,201747.0,192376.0,196304.0,190876.0,186457.0,178746.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Хабаровский край,регион,27492.0,26534.0,28465.0,29598.0,30946.0,27008.0,24023.0,22509.0,23940.0,22695.0,21987.0,21312.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Ханты-Мансийский автономный округ — Югра,регион,31152.0,27407.0,25223.0,24140.0,23785.0,22598.0,22648.0,21276.0,20699.0,20977.0,20788.0,20376.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Центральный федеральный округ,федеральный округ,563746.0,548415.0,526090.0,517802.0,556490.0,505267.0,462824.0,450961.0,455741.0,461567.0,452031.0,450461.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Челябинская область,регион,77053.0,70557.0,67693.0,62708.0,70602.0,64576.0,68213.0,64862.0,66567.0,63366.0,65299.0,62844.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Чеченская Республика,регион,4254.0,3919.0,3636.0,3500.0,3425.0,3723.0,3953.0,3330.0,3779.0,3139.0,3128.0,2416.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Чувашская Республика,регион,17990.0,16534.0,14156.0,13782.0,15688.0,13836.0,12794.0,11824.0,12430.0,13048.0,12567.0,12730.0
Зарегистрированные преступления,Всего зарегистрировано преступлений,Q112000001,единиц,Чукотский автономный округ,регион,728.0,839.0,794.0,645.0,814.0,800.0,712.0,748.0,775.0,786.0,784.0,853.0
